endpoint,state,zipcode
familyTotalExpensesR3,Georgia,31701
familyTotalExpensesR3,Georgia,31002
familyTotalExpensesR3,Georgia,30642
familyTotalExpensesR3,Georgia,31302
familyTotalExpensesR3,Georgia,30436
familyTotalExpensesR3,Georgia,30817
familyTotalExpensesR3,Georgia,30110
familyTotalExpensesR3,Georgia,30411
familyTotalExpensesR3,Georgia,31722
familyTotalExpensesR3,Georgia,30410
familyTotalExpensesR3,Georgia,31623
familyTotalExpensesR3,Georgia,39823
familyTotalExpensesR3,Georgia,30726
familyTotalExpensesR3,Georgia,31545
familyTotalExpensesR3,Georgia,31716
familyTotalExpensesR3,Georgia,30454
familyTotalExpensesR3,Georgia,31501
familyTotalExpensesR3,Georgia,30018
familyTotalExpensesR3,Georgia,30627
familyTotalExpensesR3,Georgia,39815
familyTotalExpensesR3,Georgia,31510
familyTotalExpensesR3,Georgia,31709
familyTotalExpensesR3,Georgia,30621
familyTotalExpensesR3,Georgia,31005
familyTotalExpensesR3,Georgia,30512
familyTotalExpensesR3,Georgia,30705
familyTotalExpensesR3,Georgia,30510
familyTotalExpensesR3,Hawaii,96703
familyTotalExpensesR3,Hawaii,96701
familyTotalExpensesR3,Hawaii,96708
familyTotalExpensesR3,Hawaii,96704
familyTotalExpensesR3,Iowa,50065
familyTotalExpensesR3,Iowa,50050
familyTotalExpensesR3,Iowa,51010
familyTotalExpensesR3,Iowa,50049
familyTotalExpensesR3,Iowa,52501
familyTotalExpensesR3,Iowa,50424
familyTotalExpensesR3,Iowa,50607
familyTotalExpensesR3,Iowa,51003
familyTotalExpensesR3,Iowa,50514
familyTotalExpensesR3,Iowa,50010
familyTotalExpensesR3,Iowa,52203
familyTotalExpensesR3,Iowa,52619
familyTotalExpensesR3,Iowa,52640
familyTotalExpensesR3,Iowa,51446
familyTotalExpensesR3,Iowa,50008
familyTotalExpensesR3,Iowa,50603
familyTotalExpensesR3,Iowa,52205
familyTotalExpensesR3,Iowa,50847
familyTotalExpensesR3,Iowa,50058
familyTotalExpensesR3,Iowa,50149
familyTotalExpensesR3,Iowa,52001
familyTotalExpensesR3,Iowa,50839
familyTotalExpensesR3,Iowa,50002
familyTotalExpensesR3,Iowa,50510
familyTotalExpensesR3,Iowa,51230
familyTotalExpensesR3,Iowa,50071
familyTotalExpensesR3,Iowa,50001
familyTotalExpensesR3,Iowa,50041
familyTotalExpensesR3,Iowa,50654
familyTotalExpensesR3,Iowa,50602
familyTotalExpensesR3,Iowa,52630
familyTotalExpensesR3,Iowa,50401
familyTotalExpensesR3,Iowa,50074
familyTotalExpensesR3,Iowa,51047
familyTotalExpensesR3,Iowa,50174
familyTotalExpensesR3,Iowa,51601
familyTotalExpensesR3,Iowa,50426
familyTotalExpensesR3,Iowa,50025
familyTotalExpensesR3,Iowa,51639
familyTotalExpensesR3,Iowa,52216
familyTotalExpensesR3,Iowa,51232
familyTotalExpensesR3,Iowa,50031
familyTotalExpensesR3,Iowa,51012
familyTotalExpensesR3,Iowa,52535
familyTotalExpensesR3,Iowa,52035
familyTotalExpensesR3,Iowa,52235
familyTotalExpensesR3,Iowa,50028
familyTotalExpensesR3,Iowa,50003
familyTotalExpensesR3,Iowa,51533
familyTotalExpensesR3,Iowa,52201
familyTotalExpensesR3,Iowa,50609
familyTotalExpensesR3,Iowa,50434
familyTotalExpensesR3,Iowa,50044
familyTotalExpensesR3,Iowa,52722
familyTotalExpensesR3,Iowa,50451
familyTotalExpensesR3,Iowa,52720
familyTotalExpensesR3,Iowa,50005
familyTotalExpensesR3,Iowa,50020
familyTotalExpensesR3,Iowa,52533
familyTotalExpensesR3,Iowa,52037
familyTotalExpensesR3,Iowa,51331
familyTotalExpensesR3,Iowa,50628
familyTotalExpensesR3,Iowa,50104
familyTotalExpensesR3,Iowa,50501
familyTotalExpensesR3,Iowa,50112
familyTotalExpensesR3,Iowa,52030
familyTotalExpensesR3,Iowa,50027
familyTotalExpensesR3,Iowa,51432
familyTotalExpensesR3,Iowa,52206
familyTotalExpensesR3,Iowa,50007
familyTotalExpensesR3,Iowa,50540
familyTotalExpensesR3,Iowa,50435
familyTotalExpensesR3,Iowa,51001
familyTotalExpensesR3,Iowa,51501
familyTotalExpensesR3,Iowa,50423
familyTotalExpensesR3,Iowa,50150
familyTotalExpensesR3,Iowa,50033
familyTotalExpensesR3,Iowa,51006
familyTotalExpensesR3,Iowa,52101
familyTotalExpensesR3,Iowa,50006
familyTotalExpensesR3,Iowa,50026
familyTotalExpensesR3,Iowa,50034
familyTotalExpensesR3,Iowa,51004
familyTotalExpensesR3,Iowa,51529
familyTotalExpensesR3,Iowa,52140
familyTotalExpensesR3,Iowa,51009
familyTotalExpensesR3,Iowa,50606
familyTotalExpensesR3,Iowa,50515
familyTotalExpensesR3,Iowa,50535
familyTotalExpensesR3,Iowa,50622
familyTotalExpensesR3,Iowa,52202
familyTotalExpensesR3,Iowa,50519
familyTotalExpensesR3,Iowa,52601
familyTotalExpensesR3,Iowa,50538
familyTotalExpensesR3,Iowa,50613
familyTotalExpensesR3,Iowa,50833
familyTotalExpensesR3,Iowa,50173
familyTotalExpensesR3,Iowa,52537
familyTotalExpensesR3,Iowa,52544
familyTotalExpensesR3,Idaho,83611
familyTotalExpensesR3,Idaho,83824
familyTotalExpensesR3,Idaho,83802
familyTotalExpensesR3,Idaho,83501
familyTotalExpensesR3,Idaho,83211
familyTotalExpensesR3,Idaho,83201
familyTotalExpensesR3,Idaho,83440
familyTotalExpensesR3,Idaho,83423
familyTotalExpensesR3,Idaho,83801
familyTotalExpensesR3,Idaho,83228
familyTotalExpensesR3,Idaho,83401
familyTotalExpensesR3,Idaho,83610
familyTotalExpensesR3,Idaho,83605
familyTotalExpensesR3,Idaho,83602
familyTotalExpensesR3,Idaho,83243
familyTotalExpensesR3,Idaho,83220
familyTotalExpensesR3,Idaho,83422
familyTotalExpensesR3,Idaho,83522
familyTotalExpensesR3,Idaho,83203
familyTotalExpensesR3,Idaho,83604
familyTotalExpensesR3,Idaho,83213
familyTotalExpensesR3,Idaho,83623
familyTotalExpensesR3,Idaho,83322
familyTotalExpensesR3,Idaho,83804
familyTotalExpensesR3,Idaho,83301
familyTotalExpensesR3,Idaho,83226
familyTotalExpensesR3,Idaho,83313
familyTotalExpensesR3,Idaho,83325
familyTotalExpensesR3,Idaho,83229
familyTotalExpensesR3,Idaho,83617
familyTotalExpensesR3,Idaho,83619
familyTotalExpensesR3,Idaho,83425
familyTotalExpensesR3,Idaho,83612
familyTotalExpensesR3,Idaho,83324
familyTotalExpensesR3,Idaho,83523
familyTotalExpensesR3,Idaho,83420
familyTotalExpensesR3,Idaho,83336
familyTotalExpensesR3,Idaho,83314
familyTotalExpensesR3,Idaho,83535
familyTotalExpensesR3,Idaho,83805
familyTotalExpensesR3,Idaho,83217
familyTotalExpensesR3,Idaho,83311
familyTotalExpensesR3,Idaho,83616
familyTotalExpensesR3,Idaho,83520
familyTotalExpensesR3,Illinois,61727
familyTotalExpensesR3,Illinois,60004
familyTotalExpensesR3,Illinois,61516
familyTotalExpensesR3,Illinois,60401
familyTotalExpensesR3,Illinois,62908
familyTotalExpensesR3,Illinois,62812
familyTotalExpensesR3,Illinois,60012
familyTotalExpensesR3,Illinois,60407
familyTotalExpensesR3,Illinois,60530
familyTotalExpensesR3,Illinois,62476
familyTotalExpensesR3,Illinois,61401
